Localidades;Períodos;Auxiliares de Enfermagem Registrados no COREN/SP ;Auxiliares de Enfermagem Registrados no COREN/SP (Coeficiente por mil habitantes);Dentistas Registrados no CRO/SP ;Dentistas Registrados no CRO/SP (Coeficiente por dois mil habitantes);Enfermeiros Registrados no COREN/SP ;Enfermeiros Registrados no COREN/SP (Coeficiente por mil habitantes);Fonoaudiólogos registrados no CRFa/SP ;Fonoaudiólogos registrados no CRFa/SP (Coeficiente por mil habitantes);Médicos Registrados no CRM/SP ;Médicos Registrados no CRM/SP (Coeficiente por mil habitantes);Psicólogos Registrados no CRP  6ª Região [Série interrompida] ;Psicólogos Registrados no CRP  6ª Região (Coeficiente por mil habitantes) [Série interrompida] (Coeficiente por mil habitantes);Técnicos de Enfermagem Registrados no COREN/SP ;Técnicos de Enfermagem Registrados no COREN/SP (Coeficiente por mil habitantes);Técnicos de Prótese Dentária Registrados no CRO/SP ;Técnicos de Prótese Dentária Registrados no CRO/SP (Coeficiente por dois mil habitantes);Cód. IBGE
Mirassol;2019;200;3.48;102;3.55;196;3.41;14;0.24;158;2.75;;;284;4.94;5;0.17;3530300
Mirassolândia;2019;8;1.72;2;0.86;5;1.07;1;0.21;;;;;19;4.08;;;3530409
Mococa;2019;107;1.6;125;3.75;105;1.57;17;0.25;115;1.72;;;442;6.63;6;0.18;3530508
Mogi das Cruzes;2019;2408;5.62;1317;6.15;1369;3.2;100;0.23;1412;3.3;;;2129;4.97;78;0.36;3530607
Mogi Guaçu;2019;487;3.31;229;3.11;322;2.19;25;0.17;253;1.72;;;936;6.36;17;0.23;3530706
Mogi Mirim;2019;202;2.24;230;5.11;201;2.23;40;0.44;267;2.96;;;459;5.09;17;0.38;3530805
Mombuca;2019;5;1.5;4;2.41;4;1.2;;;;;;;9;2.71;;;3530904
Mongaguá;2019;324;6.02;41;1.52;84;1.56;2;0.04;23;0.43;;;282;5.24;6;0.22;3531100
Monte Alegre do Sul;2019;35;4.55;10;2.6;99;12.87;2;0.26;13;1.69;;;225;29.24;2;0.52;3531209
Monte Alto;2019;80;1.66;95;3.94;99;2.05;10;0.21;87;1.8;;;251;5.2;7;0.29;3531308
Monte Aprazível;2019;134;5.75;42;3.6;57;2.44;4;0.17;40;1.72;;;130;5.57;2;0.17;3531407
Monte Azul Paulista;2019;6;0.33;30;3.29;24;1.31;6;0.33;25;1.37;;;74;4.05;2;0.22;3531506
Monte Castelo;2019;21;5.25;3;1.5;13;3.25;;;1;0.25;;;8;2;;;3531605
Monte Mor;2019;112;1.91;38;1.3;60;1.03;12;0.21;28;0.48;;;379;6.48;5;0.17;3531803
Monteiro Lobato;2019;15;3.39;4;1.81;4;0.9;1;0.23;;;;;6;1.35;;;3531704
Monções;2019;5;2.3;3;2.76;6;2.76;;;3;1.38;;;8;3.68;2;1.84;3531001
Morro Agudo;2019;38;1.19;41;2.56;40;1.25;9;0.28;18;0.56;;;127;3.97;3;0.19;3531902
Morungaba;2019;10;0.76;20;3.05;12;0.92;2;0.15;3;0.23;;;45;3.43;;;3532009
Motuca;2019;12;2.61;1;0.43;4;0.87;1;0.22;;;;;24;5.21;;;3532058
Murutinga do Sul;2019;38;8.89;1;0.47;13;3.04;1;0.23;5;1.17;;;24;5.62;2;0.94;3532108
Nantes;2019;12;3.95;;;4;1.32;2;0.66;;;;;2;0.66;;;3532157
Narandiba;2019;41;8.57;1;0.42;10;2.09;3;0.63;2;0.42;;;9;1.88;;;3532207
Natividade da Serra;2019;18;2.69;1;0.3;7;1.05;;;;;;;8;1.2;;;3532306
Nazaré Paulista;2019;41;2.25;11;1.21;18;0.99;1;0.05;5;0.27;;;55;3.02;;;3532405
Neves Paulista;2019;49;5.67;12;2.78;27;3.13;2;0.23;11;1.27;;;60;6.95;;;3532504
